"STT","Tên Học viện/Nhạc viện","Tên viết tắt","Mã tuyển sinh","Thành lập","Website chính thức","Website tuyển sinh"
"1","Học viện Cán bộ Thành phố Hồ Chí Minh","HCA","HVC","1965","http://www.hocviencanbo.hochiminhcity.gov.vn","https://tuyensinh.hcmca.edu.vn"
"2","Học viện Công nghệ Bưu chính Viễn thông (Cơ sở 2)","PTIT","BVS","1953","https://ptithcm.edu.vn","https://tuyensinh.ptit.edu.vn"
"3","Học viện Hàng không Việt Nam","VAA","HHK","2006","https://vaa.edu.vn","https://tuyensinhhvhk.vaa.edu.vn"
"4","Phân viện Học viện Hành chính Quốc Gia (Miền Nam)","NAPA","HCH","1952","https://www1.napa.vn/","https://www1.napa.vn/website-dang-ky-xet-tuyen/"
"5","Học viện Kỹ thuật Mật mã (cơ sở phía Nam)","ACT","KMA","1995","https://actvn.edu.vn/","https://tuyensinh.actvn.edu.vn"
"6","Học viện Kỹ thuật Quân sự (cơ sở 2)","MTA","KQH","1966","https://mta.edu.vn","http://tuyensinh.mta.edu.vn"
"7","Nhạc viện TP.HCM","HCMCONS","NVS","1956","https://hcmcons.vn","https://hcmcons.vn/tuyen-sinh"
"8","Học viện Thanh thiếu niên Việt Nam (Phân viện miền Nam)","VYA","HTN","1976","https://vya.edu.vn","https://vya.edu.vn/tuyen-sinh"
